Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/VO_0000262,http://purl.obolibrary.org/obo/VO_0000435,"pIRES DNA vaccine plasmid"
http://purl.obolibrary.org/obo/VO_0001004,http://purl.obolibrary.org/obo/VO_0000435,"pcDNA3.1/V5-His DNA vaccine plasmid"
http://purl.obolibrary.org/obo/NCBITaxon_693995,http://purl.obolibrary.org/obo/NCBITaxon_76804,"Coronavirinae"
http://purl.obolibrary.org/obo/VO_0002238,http://purl.obolibrary.org/obo/VO_0002423,"Encephalomyelitis-Influenza-West Nile Virus Eastern & Western, Killed Virus Vaccine-Tetanus Toxoid (USDA: 46W5.21)"
http://purl.obolibrary.org/obo/VO_0010844,http://purl.obolibrary.org/obo/VO_0010754,"Dengue Virus protein"
http://purl.obolibrary.org/obo/VO_0010985,http://purl.obolibrary.org/obo/VO_0010766,"IreA"
http://purl.obolibrary.org/obo/VO_0000956,http://purl.obolibrary.org/obo/VO_0000108,"Brucella abortus conjugate vaccine"
http://purl.obolibrary.org/obo/VO_0001091,http://purl.obolibrary.org/obo/VO_0000642,"Poulvac FluFend I AI H5N3 RG"
http://purl.obolibrary.org/obo/VO_0002383,http://purl.obolibrary.org/obo/VO_0002367,"Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Vaccine"
http://purl.obolibrary.org/obo/VO_0011511,http://purl.obolibrary.org/obo/VO_0012187,"C. botulinum DNA vaccine pSCARSBHc"
http://purl.obolibrary.org/obo/VO_0000834,http://purl.obolibrary.org/obo/VO_0000648,"recombinant Y. pestis YopD protein vaccine"
http://purl.obolibrary.org/obo/VO_0004085,http://purl.obolibrary.org/obo/VO_0012177,"ML29"
http://purl.obolibrary.org/obo/VO_0012402,http://purl.obolibrary.org/obo/VO_0012356,"Sip"
http://purl.obolibrary.org/obo/VO_0000465,http://purl.obolibrary.org/obo/VO_0002502,"Staphylococcus aureus bacterin vaccine"
http://purl.obolibrary.org/obo/VO_0011138,http://purl.obolibrary.org/obo/VO_0010782,"HA from Influenza A virus (A/Viet Nam/1203/2004(H5N1))"
http://purl.obolibrary.org/obo/VO_0002010,http://purl.obolibrary.org/obo/VO_0002372,"Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 11A1.20)"
http://purl.obolibrary.org/obo/VO_0003002,http://purl.obolibrary.org/obo/VO_0012188,"Western equine encephalomyelitis virus PE2/E2 mutant virus"
