source,target,relation
http://purl.obolibrary.org/obo/VO_0003018,http://purl.obolibrary.org/obo/VO_0003016,occurs in
http://purl.obolibrary.org/obo/VO_0004009,http://purl.obolibrary.org/obo/NCBITaxon_29176,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0010957,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0011409,http://purl.obolibrary.org/obo/VO_0011310,has part
http://purl.obolibrary.org/obo/VO_0004535,http://purl.obolibrary.org/obo/NCBITaxon_11120,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0004249,http://purl.obolibrary.org/obo/NCBITaxon_11309,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001543,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0004236,http://purl.obolibrary.org/obo/NCBITaxon_11309,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001748,http://purl.obolibrary.org/obo/NCBITaxon_11232,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002735,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0001846,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001729,http://purl.obolibrary.org/obo/NCBITaxon_9031,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0001684,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0012403,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0002515,http://purl.obolibrary.org/obo/NCBITaxon_5671,part of
http://purl.obolibrary.org/obo/VO_0002270,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0010954,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0004572,http://purl.obolibrary.org/obo/NCBITaxon_287,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0004201,http://purl.obolibrary.org/obo/NCBITaxon_263,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0011099,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0001778,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0004638,http://purl.obolibrary.org/obo/NCBITaxon_12721,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002706,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0004033,http://purl.obolibrary.org/obo/VO_0011156,has part
http://purl.obolibrary.org/obo/VO_0002069,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0002088,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0004210,http://purl.obolibrary.org/obo/NCBITaxon_10258,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002328,http://purl.obolibrary.org/obo/NCBITaxon_2096,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001445,http://purl.obolibrary.org/obo/NCBITaxon_11723,part of
http://purl.obolibrary.org/obo/VO_0004663,http://purl.obolibrary.org/obo/NCBITaxon_11588,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001982,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0010941,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0002079,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0010724,http://purl.obolibrary.org/obo/VO_0000913,has vaccine allergen
http://purl.obolibrary.org/obo/VO_0000054,http://purl.obolibrary.org/obo/VO_0001187,is_specified_input_of
http://purl.obolibrary.org/obo/VO_0010871,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0002151,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001989,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0002427,http://purl.obolibrary.org/obo/NCBITaxon_11768,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001138,http://purl.obolibrary.org/obo/NCBITaxon_9940,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0011065,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0010879,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0002433,http://purl.obolibrary.org/obo/NCBITaxon_11768,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001415,http://purl.obolibrary.org/obo/NCBITaxon_75985,part of
http://purl.obolibrary.org/obo/VO_0001772,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001691,http://purl.obolibrary.org/obo/NCBITaxon_9031,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0001832,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0011151,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0002248,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0000021,http://purl.obolibrary.org/obo/NCBITaxon_391902,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0000385,http://purl.obolibrary.org/obo/NCBITaxon_10090,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0001761,http://purl.obolibrary.org/obo/NCBITaxon_9612,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0001754,http://purl.obolibrary.org/obo/NCBITaxon_9612,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0001229,http://purl.obolibrary.org/obo/NCBITaxon_6182,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0011421,http://purl.obolibrary.org/obo/VO_0011098,expresses
http://purl.obolibrary.org/obo/VO_0002273,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0004355,http://purl.obolibrary.org/obo/NCBITaxon_11309,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001716,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0002104,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002759,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0001655,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0004659,http://purl.obolibrary.org/obo/NCBITaxon_11309,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0000637,http://purl.obolibrary.org/obo/NCBITaxon_996,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0004100,http://purl.obolibrary.org/obo/NCBITaxon_197,vaccine immunization against microbe
