source,target,relation
http://purl.obolibrary.org/obo/STATO_0000298,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/OBI_0200201,http://purl.obolibrary.org/obo/STATO_0000053,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000098,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000282,http://purl.obolibrary.org/obo/STATO_0000086,is_specified_input_of
http://purl.obolibrary.org/obo/STATO_0000080,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/IAO_0000577,http://purl.obolibrary.org/obo/IAO_0000578,part of
http://purl.obolibrary.org/obo/OBI_0600036,http://purl.obolibrary.org/obo/OBI_0000456,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000582,http://purl.obolibrary.org/obo/OBI_0001305,has part
http://purl.obolibrary.org/obo/STATO_0000401,http://purl.obolibrary.org/obo/STATO_0000402,estimate of
http://purl.obolibrary.org/obo/STATO_0000442,http://purl.obolibrary.org/obo/STATO_0000083,preceded by
http://purl.obolibrary.org/obo/STATO_0000074,http://purl.obolibrary.org/obo/OBI_0000675,achieves_planned_objective
http://purl.obolibrary.org/obo/OBI_0200042,http://purl.obolibrary.org/obo/OBI_0200178,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000075,http://purl.obolibrary.org/obo/OBI_0200111,is_specified_output_of
http://purl.obolibrary.org/obo/STATO_0000481,http://purl.obolibrary.org/obo/stato.owl#response_variable_explained_by_random_effect_hypothesis,has part
http://purl.obolibrary.org/obo/STATO_0000098,http://purl.obolibrary.org/obo/STATO_0000255,achieves_planned_objective
http://purl.obolibrary.org/obo/OBI_0000737,http://purl.obolibrary.org/obo/OBI_0000094,is_specified_output_of
http://purl.obolibrary.org/obo/STATO_0000042,http://purl.obolibrary.org/obo/IAO_0000100,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000040,http://purl.obolibrary.org/obo/OBI_0000650,preceded by
http://purl.obolibrary.org/obo/STATO_0000108,http://purl.obolibrary.org/obo/OBI_0000751,achieves
http://purl.obolibrary.org/obo/STATO_0000445,http://purl.obolibrary.org/obo/OBI_0000750,achieves
http://purl.obolibrary.org/obo/OBI_0200119,http://purl.obolibrary.org/obo/STATO_0000574,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000584,http://purl.obolibrary.org/obo/STATO_0000559,is_specified_input_of
http://purl.obolibrary.org/obo/STATO_0000210,http://purl.obolibrary.org/obo/OBI_0000010,has numerator
http://purl.obolibrary.org/obo/STATO_0000097,http://purl.obolibrary.org/obo/STATO_0000200,has_specified_input
